product_code,liking,liking_free_text,meets_expectation,meets_expectation_free_text,product_improvement_free_text
OSY Strawberry,8,"It was a very good strawberry flavor, it's smooth without many chucks.",4,I was expecting it to be chunkier and was pleasantly surprised that it wasn't.  Packaging was just fine.,I wouldn't change anything
Chobani Smooth,8,Right amount of strawberry flavor.,4,Something to make you more aware that it isn't greek yogurt.,Nothing
OSY Strawberry,7,"Creamy taste, pieces of fruit.",3,Packaging seemed fine.,"Less sugar, it was too sweet.  More fruit chunks."
Chobani Smooth,8,"Perfect size for a snack, also easy to use container for children. I refilled it for my little one and there was no spills.",5,The package could say something like  not like other yogurts it's smooth .,"Add fruit bits inside the yogurt, really tiny so they are in every bit."
OSY Strawberry,8,Creamy with nice  chunks of strawberry,3,I normally don't like chunks of fruit in yogurt but I enjoyed it in this yogurt,Nothing
Chobani Smooth,7,"It wasn't overly sweet, had a light texture to it.",4,The look of the consistency of the yogurt.,"Add a bit more flavor, maybe add some strawberry pieces in it."
OSY Strawberry,8,The smoothness and the good strawberry flavor,4,a few of the strawberry pcs. were hard,bigger strawberry pieces
Chobani Smooth,9,"very smooth, great taste.  Love the tartness, it's a little subtle but definitely there",4,"the tartness, in a way  classic  probably conveys this but not outright.",A little more strawberry flavor and/or sweetness.  Not a lot but just a touch
OSY Strawberry,7,It's very creamy.,3,It's a little more dry than anticipated.  The package could represent how creamy it is.,Remove the after-taste.
Chobani Smooth,7,Flavor,3,n/a,Sweeter
OSY Strawberry,8,"smooth and creamy, very good flavor.",4,"nothing, packaging very appealing","Nothing, very good tasting"
Chobani Smooth,8,texture and taste,5,how smooth the yogurt was,have some types that offer a mix in of some kind-granola?
OSY Strawberry,8,Good strawberry flavor. Chunks of fruit.,4,I didn't expect there to be as many fruit chunks at there were.,Too tart.
Chobani Smooth,4,the creamy texture,3,na,more strawberry flavor
OSY Strawberry,8,I like the strawberries in the yogurt.  I like the amount of sweetness.,4,There was nothing unexpected.,n/a
Chobani Smooth,7,it is smooth and texture is good,3,na,flavor it needs to be sweeter as its semi tart
OSY Strawberry,7,It was not too sweet. Smooth texture,3,N/A,More strawberries
Chobani Smooth,9,taste and smoothness,5,nothing,nothing
OSY Strawberry,7,"Price, amount of strawberry flavor, ingredient list is understandable",3,Ingredient list had less ingredients than expected and ingredients that could be pronounced.,Less sweetness
Chobani Smooth,8,The texture is smooth and it was very flavorful. The strawberries were good too,5,At first I thought it would be very plain because it was a low fat and because the design reminded me of Greek yogurt,Strawberries more chunky
OSY Strawberry,9,"I liked the creamy texture, the small bits of strawberry and the taste.",4,Nothing to change,The only thing I would change is the shape of the packaging.  I don't care for the tall cup.  Everything else is perfect.
OSY Strawberry,8,It had a great strawberry flavor to it and I loved the chunks of strawberry that was in it as well.,4,Nothing,Nothing
Chobani Smooth,8,"good taste, smooth consistency. not too tart",4,nothing,more strawberries
OSY Strawberry,8,I liked the smoothness of the yogurt and the small pieces of strawberry.,3,The product was not unexpected.  I have had this brand several times and I like it.,It was a little too sweet.
Chobani Smooth,7,Tastes pretty good. I like strawberry.,4,I liked it a little more than I thought I would.,It would be nice if there wasn't so much liquid on top when I open it. Kind of grosses me out.
OSY Strawberry,8,"Tast very good, not as thin as others. flavor was amazing and there was enough strawberries in there to taste and eat while enjoying this",5,I wouldn't change anything on this product.,Make the strawberries a little smaller instead of so big.
Chobani Smooth,8,Smooth texture and good strawberry taste.,5,Not sour or tart.    Rich flavor.,add more fruit pieces.
OSY Strawberry,8,"Good texture, balance of fruit and yogurt flavors",4,"The fruit pieces were smaller than I expected, but I enjoyed it, so I would not change that.",Nothing.
Chobani Smooth,8,It is smooth and creamy. It has a good strawberry flavor.,4,It was very smooth and creamy.,The strawberry flavor could have been a little bit stronger.
OSY Strawberry,7,I like the creamy texture.,4,Nothing.,Some of the strawberry chunks were a little too big for my liking.
Chobani Smooth,7,It tasted like greek yogurt but it wasn't. It wasn't quite as thick as a greek yogurt.,2,"I think I thought it would have more of a standard yogurt taste even tho it was made by Chobani. I don't mind greek yogurt but if a person did not like it, they might be disappointed in the flavor.",I'm sure everyone knows Chobani as Greek Yogurt but maybe somehow change the name so it also mentions it is a greek yogurt flavor.
OSY Strawberry,8,"Good taste, strawberry pieces just the right size.",3,"Package is nice and clear, easy to understand and read.",Reduce grams of sugar added.  Women's average daily sugar consumption should be only 24 grams and this has 18 grams.
Chobani Smooth,7,Lot's of strawberry flavor and was not tart at all.,5,Had a good taste for a less sugar product.,Looked a little funny when first opened. Also a little pricey.
OSY Strawberry,8,The size and price.,3,I wouldn't change anything,Sell in smaller size in a pack of 8.
Chobani Smooth,7,"Good taste, not bland.",3,Because of the name I expected it to be really smooth and have a good texture and it really didn't.,the texture was kind of griddy. I wish it would be more smooth.
OSY Strawberry,8,Yogurt had good flavor.  Strawberries taste fresh.,4,N/A,"Better consistency in strawberry chunks, some were huge and others very small."
Chobani Smooth,3,The creaminess,2,"The package said  classic yogurt  but doesn't taste like classic yogurt to me at all (which I would consider Yoplait, Dannon, etc).","Better flavor (stronger strawberry flavor), more strawberry chunks.  I don't like the smell or aftertaste -- it's bitter, not sweet."
OSY Strawberry,9,"The big chunks of strawberries, also it was very creamy.",5,Real fruit.,Bigger Cups!!
Chobani Smooth,7,#NAME?,3,I thought the packaging was very appealing.,#NAME?
OSY Strawberry,8,The texture was creamy.  The pieces of fruit were nicely diced so you did not have any weird stringy hunks of berry.,3,I did not find anything unexpected from this Yoplait yogurt,Lower the sugar content
Chobani Smooth,7,creamy texture,3,include greek yougurt on label info.,n/a
OSY Strawberry,9,Loved texture and the flavor,5,tasted so fresh and flavorful,More fresh strawberries in it
Chobani Smooth,8,It's texture and taste,4,"I thought the packaging was good.  I would have liked to have seen the ingredients listed.  If it was on the cover, I tossed it.",I would add more fruit
OSY Strawberry,8,Good flavor. Lots of strawberry pieces.,4,I found nothing unexpected.,I liked it a lot and couldn't find anything to change.
Chobani Smooth,8,"Creamy,lots of fruit",4,That it was regular yogurt and not Greek yogurt,"Fill cup fuller,cup was a little under 3/4 full"
OSY Strawberry,9,"Creamy, bits of strawberry, flavorful.",5,"Very refreshing and satisfying, fulfilling.",Nothing. Enjoyed it as is is.
Chobani Smooth,7,It was mostly smooth. I got 2 small chunks. I like the 11 gm of protein. It's lowfat.,3,"The package should say SMOOTH AND THICK, not classic smooth.","It's too thick, almost glue-like. It's not sweet enough for a snack crave. It's fine a a nutritional breakfast or a quick meal. It looks bland."
OSY Strawberry,8,I liked the creamy texture and chunks of real strawberries.,4,"The communication on the packaging was good, nothing I would change.",The container is hard to eat from without wasting any at the end.
Chobani Smooth,2,not lumpy,1,"The container being 1/2 full was the first surprise, the second surprise was the fact that the yogurt was gray in color.  Adding more strawberries would make it more pink.  Don't use food coloring.  I added a couple strawberries and suddenly it was pink.","Needs more fruit!  I had to add 2 strawberries to be able to taste the strawberry flavor.    Also, the container was 1/2 full so I suggest using a smaller container or fill the existing container.  I think a smaller container is a better idea."
OSY Strawberry,8,"very creamy, good flavor, price is very good for the product you receive.",4,the chunks or pieces of real fruit. I know it says real fruit on the label but that does not define or explain pieces.I do not like  fruit on the bottom  because of the large chunks but this was very good.,maybe offer it in an 8 ounce size when a person wants more than just a snack. I would be willing to pay slightly more for a larger container.
Chobani Smooth,8,This product was creamy and a great color.,2,There was nothing unexpected.  I might add a little more sweetner as it was a bit tart.,It was very tart.  and I wasn't sure I could take the aftertaste
OSY Strawberry,9,It has a lot of strawberry pieces & it's very creamy.,5,I was surprised by the amount of fruit in it.,Don't change it.
Chobani Smooth,3,creamy,3,too much red on outside of container,the creamy-ness
OSY Strawberry,8,Has the perfect amount of sweetness and not too chunky for the fruit.,5,I don't think it needs to be changed.,Maybe make it a little thicker. It was a little bit too runny.
Chobani Smooth,6,good strawberry flavor,3,no changes,aftertaste
OSY Strawberry,8,Flavor,4,Nothing,Thicker consistency
Chobani Smooth,9,I really like how smooth and creamy it is.,5,"The smooth and creamy is right on! The packaging is truthful, no change needed.",I would add bigger pieces of strawberry.
OSY Strawberry,7,The taste,4,The small little chunks of fruit - I think bigger pieces would be better,Have more fruit in it
Chobani Smooth,3,smell and color,3,I wouldn't change anything with the packaging,add more strawberry
OSY Strawberry,7,like the freuit chunks tastes good and creamy,3,more chunks of fruit than expected,add a little more sugar
Chobani Smooth,7,"I thought that the taste was very good, not too sweet.",3,"Packaging stated  full of Real Fruit , none visible. I was also surprised to see that the package contained 2 servings. This seems misleading as this would likely be eaten all at once.",I would like it to be thicker and have pieces of fruit. The consistency seemed thin. A larger selection of flavors to choose from would also be good.
OSY Strawberry,8,Very good taste. Can really taste the strawberries.,4,Nothing,More chunks of strawberry.
Chobani Smooth,7,Nice flavor like the smooth texture very creamy.,4,The flavor was quite good for being a low fat product,Could use a little more real fruit to enhance the flavor.  The color was pale not very pleasing to the eye.  Seemed to have a little bitter after taste.
OSY Strawberry,8,It had a very rich flavor. Good strawberry taste. Very smooth.,4,I wasn't expecting the pieces of strawberries in the yogurt. It really added to the taste and flavor.,"Actually, nothing! I really like it."
Chobani Smooth,7,was tasty,3,a little thin for yogurt,make it thicker
OSY Strawberry,8,"I liked the chunks of strawberries, smooth texture and a good after taste.",5,I wouldn't change anything.,Add more strawberries
Chobani Smooth,3,Attractive packaging and easy open container,2,The flavor was very sour tasting,More strawberry flavor and add some fruit chunks
OSY Strawberry,9,The fruit flavor is amazing. It was like eating a fresh strawberry.,5,The flavor and freshness,Nothing
Chobani Smooth,5,I liked the creamy smoothness-thick without being pasty,3,I expected it to be tart and it wasn't at all,"more strawberry chunks, and more strawberry flavor"
OSY Strawberry,8,The flavor was refreshing.  Texture wasn't too chunky.  The texture (excluding the fruit) was smooth,3,not sure I would change anything about the packaging.   nice small container. easy to hold.,either less small chunks of fruit or larger pieces.
Chobani Smooth,8,the smoothness of the texture,4,good packaging,make it a little less tart
OSY Strawberry,7,I like the strawberry taste. I like that there are no artificial flavors.,3,I would not change anything about the package.,I would make the opening bigger and have less sugar.
Chobani Smooth,6,Good fruit flavor.  Wasn't overly sweet.,3,I wouldn't change anything on the packaging.,Would taste better with even more berry flavor.  It was a little too runny.
OSY Strawberry,9,the taste and the chunks of fruit,4,nothing i felt the package represnted the product,make the size bigger
Chobani Smooth,8,texture is very creamy  has a nice strawberry flavor,4,I thought there would be chunks of strawberries in it,add fruit pieces
OSY Strawberry,8,"I like the consistency of the yogurt, it's smooth and has substance. I like that it's what I grew up with, so it's familiar to me.",4,Nothing. As expected.,"I wish it didn't have so much sugar. I don't want artificial sweeteners instead, just less sugar, or more fruit pulp to add fiber to aid in processing the sugar."
Chobani Smooth,9,"Great tasting, Chunks of strawberries, smooth texture and no bad after taste.",5,Flavor.  Much better than I expected it to taste.  The packaging is nice and bright colored.,Add more chucks of strawberries.
OSY Strawberry,9,"Flavor, texture, appearance.",4,I was surprised at the amount of protein.,There isn't anything I would change.
Chobani Smooth,8,I liked the strawberry flavor and the little tiny chunks of strawberries in it .,3,"I thought the packaging was very good , honest and represented exactly what was inside.",I would add granola to this yogurt to make it taste better.
OSY Strawberry,9,"It is very creamy, cold, thick, good strawberry flavor.",3,Nothing,Nothing
Chobani Smooth,8,"Good amount of strawberry flavor, very creamy and smooth",5,I was expecting it to taste more like greek yogurt because of the container but it tasted like regular yogurt which I prefer.,Add more strawberry chunks
OSY Strawberry,8,I like the taste and the texture of this product,3,Nothing unexpected.,I would like to see a few more fruit chunks
Chobani Smooth,6,"creaminess, smoothness",3,not much fruit in it,It could have a stronger strawberry flavor and put chunks of strawberries in it.
OSY Strawberry,7,"Creamy, nice smooth flavor",3,Na,I'm not a fan of fruit chunks so I would like more yogurt and no fruit pieces
